# Goxel 0.10.7
# One line per voxel
# X Y Z RRGGBB
-4 0 3 ffffff
-3 0 3 ffffff
-2 0 3 ffffff
-1 0 3 ffffff
-4 1 3 ffffff
-3 1 3 ffffff
-2 1 3 ffffff
-1 1 3 ffffff
-3 2 3 ffffff
-2 2 3 ffffff
-1 2 3 ffffff
-5 0 4 ffffff
-4 0 4 ffffff
-3 0 4 ffffff
-2 0 4 ffffff
-1 0 4 ffffff
-5 1 4 ffffff
-4 1 4 ffffff
-3 1 4 ffffff
-2 1 4 ffffff
-1 1 4 ffffff
-5 2 4 ffffff
-4 2 4 ffffff
-3 2 4 ffffff
-2 2 4 ffffff
-1 2 4 ffffff
-4 3 4 ffffff
-3 3 4 ffffff
-2 3 4 ffffff
-1 3 4 ffffff
-6 0 5 ffffff
-5 0 5 ffffff
-4 0 5 ffffff
-3 0 5 ffffff
-2 0 5 ffffff
-1 0 5 ffffff
-6 1 5 ffffff
-5 1 5 ffffff
-4 1 5 ffffff
-3 1 5 ffffff
-2 1 5 ffffff
-1 1 5 ffffff
-6 2 5 ffffff
-5 2 5 ffffff
-4 2 5 ffffff
-3 2 5 ffffff
-2 2 5 ffffff
-1 2 5 ffffff
-5 3 5 ffffff
-4 3 5 ffffff
-3 3 5 ffffff
-2 3 5 ffffff
-1 3 5 ffffff
-4 4 5 ffffff
-3 4 5 ffffff
-2 4 5 ffffff
-1 4 5 ffffff
-7 0 6 ffffff
-6 0 6 ffffff
-5 0 6 ffffff
-4 0 6 ffffff
-3 0 6 ffffff
-2 0 6 ffffff
-1 0 6 ffffff
-7 1 6 ffffff
-6 1 6 ffffff
-5 1 6 ffffff
-4 1 6 ffffff
-3 1 6 ffffff
-2 1 6 ffffff
-1 1 6 ffffff
-6 2 6 ffffff
-5 2 6 ffffff
-4 2 6 ffffff
-3 2 6 ffffff
-2 2 6 ffffff
-1 2 6 ffffff
-6 3 6 ffffff
-5 3 6 ffffff
-4 3 6 ffffff
-3 3 6 ffffff
-2 3 6 ffffff
-1 3 6 ffffff
-5 4 6 ffffff
-4 4 6 ffffff
-3 4 6 ffffff
-2 4 6 ffffff
-1 4 6 ffffff
-3 5 6 ffffff
-2 5 6 ffffff
-1 5 6 ffffff
-7 0 7 ffffff
-6 0 7 ffffff
-5 0 7 ffffff
-4 0 7 ffffff
-3 0 7 ffffff
-2 0 7 ffffff
-1 0 7 ffffff
-7 1 7 ffffff
-6 1 7 ffffff
-5 1 7 ffffff
-4 1 7 ffffff
-3 1 7 ffffff
-2 1 7 ffffff
-1 1 7 ffffff
-7 2 7 ffffff
-6 2 7 ffffff
-5 2 7 ffffff
-4 2 7 ffffff
-3 2 7 ffffff
-2 2 7 ffffff
-1 2 7 ffffff
-6 3 7 ffffff
-5 3 7 ffffff
-4 3 7 ffffff
-3 3 7 ffffff
-2 3 7 ffffff
-1 3 7 ffffff
-5 4 7 ffffff
-4 4 7 ffffff
-3 4 7 ffffff
-2 4 7 ffffff
-1 4 7 ffffff
-4 5 7 ffffff
-3 5 7 ffffff
-2 5 7 ffffff
-1 5 7 ffffff
-7 0 8 ffffff
-6 0 8 ffffff
-5 0 8 ffffff
-4 0 8 ffffff
-3 0 8 ffffff
-2 0 8 ffffff
-1 0 8 ffffff
-7 1 8 ffffff
-6 1 8 ffffff
-5 1 8 ffffff
-4 1 8 ffffff
-3 1 8 ffffff
-2 1 8 ffffff
-1 1 8 ffffff
-7 2 8 ffffff
-6 2 8 ffffff
-5 2 8 ffffff
-4 2 8 ffffff
-3 2 8 ffffff
-2 2 8 ffffff
-1 2 8 ffffff
-6 3 8 ffffff
-5 3 8 ffffff
-4 3 8 ffffff
-3 3 8 ffffff
-2 3 8 ffffff
-1 3 8 ffffff
-5 4 8 ffffff
-4 4 8 ffffff
-3 4 8 ffffff
-2 4 8 ffffff
-1 4 8 ffffff
-4 5 8 ffffff
-3 5 8 ffffff
-2 5 8 ffffff
-1 5 8 ffffff
-7 0 9 ffffff
-6 0 9 ffffff
-5 0 9 ffffff
-4 0 9 ffffff
-3 0 9 ffffff
-2 0 9 ffffff
-1 0 9 ffffff
-7 1 9 ffffff
-6 1 9 ffffff
-5 1 9 ffffff
-4 1 9 ffffff
-3 1 9 ffffff
-2 1 9 ffffff
-1 1 9 ffffff
-7 2 9 ffffff
-6 2 9 ffffff
-5 2 9 ffffff
-4 2 9 ffffff
-3 2 9 ffffff
-2 2 9 ffffff
-1 2 9 ffffff
-6 3 9 ffffff
-5 3 9 ffffff
-4 3 9 ffffff
-3 3 9 ffffff
-2 3 9 ffffff
-1 3 9 ffffff
-5 4 9 ffffff
-4 4 9 ffffff
-3 4 9 ffffff
-2 4 9 ffffff
-1 4 9 ffffff
-4 5 9 ffffff
-3 5 9 ffffff
-2 5 9 ffffff
-1 5 9 ffffff
-7 0 10 ffffff
-6 0 10 ffffff
-5 0 10 ffffff
-4 0 10 ffffff
-3 0 10 ffffff
-2 0 10 ffffff
-1 0 10 ffffff
-7 1 10 ffffff
-6 1 10 ffffff
-5 1 10 ffffff
-4 1 10 ffffff
-3 1 10 ffffff
-2 1 10 ffffff
-1 1 10 ffffff
-6 2 10 ffffff
-5 2 10 ffffff
-4 2 10 ffffff
-3 2 10 ffffff
-2 2 10 ffffff
-1 2 10 ffffff
-6 3 10 ffffff
-5 3 10 ffffff
-4 3 10 ffffff
-3 3 10 ffffff
-2 3 10 ffffff
-1 3 10 ffffff
-5 4 10 ffffff
-4 4 10 ffffff
-3 4 10 ffffff
-2 4 10 ffffff
-3 5 10 ffffff
-2 5 10 ffffff
-6 0 11 ffffff
-5 0 11 ffffff
-4 0 11 ffffff
-3 0 11 ffffff
-2 0 11 ffffff
-1 0 11 ffffff
-6 1 11 ffffff
-5 1 11 ffffff
-4 1 11 ffffff
-3 1 11 ffffff
-2 1 11 ffffff
-1 1 11 ffffff
-6 2 11 ffffff
-5 2 11 ffffff
-4 2 11 ffffff
-3 2 11 ffffff
-2 2 11 ffffff
-1 2 11 ffffff
-5 3 11 ffffff
-4 3 11 ffffff
-3 3 11 ffffff
-2 3 11 ffffff
-1 3 11 ffffff
-4 4 11 ffffff
-3 4 11 ffffff
-2 4 11 ffffff
-5 0 12 ffffff
-4 0 12 ffffff
-3 0 12 ffffff
-2 0 12 ffffff
-1 0 12 ffffff
-5 1 12 ffffff
-4 1 12 ffffff
-3 1 12 ffffff
-2 1 12 ffffff
-1 1 12 ffffff
-5 2 12 ffffff
-4 2 12 ffffff
-3 2 12 ffffff
-2 2 12 ffffff
-1 2 12 ffffff
-4 3 12 ffffff
-3 3 12 ffffff
-2 3 12 ffffff
-4 0 13 ffffff
-3 0 13 ffffff
-2 0 13 ffffff
-1 0 13 ffffff
-4 1 13 ffffff
-3 1 13 ffffff
-2 1 13 ffffff
-1 1 13 ffffff
-3 2 13 ffffff
-2 2 13 ffffff
-1 2 13 ffffff
-3 -2 3 ffffff
-2 -2 3 ffffff
-1 -2 3 ffffff
-4 -1 3 ffffff
-3 -1 3 ffffff
-2 -1 3 ffffff
-1 -1 3 ffffff
-4 -3 4 ffffff
-3 -3 4 ffffff
-2 -3 4 ffffff
-1 -3 4 ffffff
-5 -2 4 ffffff
-4 -2 4 ffffff
-3 -2 4 ffffff
-2 -2 4 ffffff
-1 -2 4 ffffff
-5 -1 4 ffffff
-4 -1 4 ffffff
-3 -1 4 ffffff
-2 -1 4 ffffff
-1 -1 4 ffffff
-4 -4 5 ffffff
-3 -4 5 ffffff
-2 -4 5 ffffff
-1 -4 5 ffffff
-5 -3 5 ffffff
-4 -3 5 ffffff
-3 -3 5 ffffff
-2 -3 5 ffffff
-1 -3 5 ffffff
-6 -2 5 ffffff
-5 -2 5 ffffff
-4 -2 5 ffffff
-3 -2 5 ffffff
-2 -2 5 ffffff
-1 -2 5 ffffff
-6 -1 5 ffffff
-5 -1 5 ffffff
-4 -1 5 ffffff
-3 -1 5 ffffff
-2 -1 5 ffffff
-1 -1 5 ffffff
-3 -5 6 ffffff
-2 -5 6 ffffff
-1 -5 6 ffffff
-5 -4 6 ffffff
-4 -4 6 ffffff
-3 -4 6 ffffff
-2 -4 6 ffffff
-1 -4 6 ffffff
-6 -3 6 ffffff
-5 -3 6 ffffff
-4 -3 6 ffffff
-3 -3 6 ffffff
-2 -3 6 ffffff
-1 -3 6 ffffff
-6 -2 6 ffffff
-5 -2 6 ffffff
-4 -2 6 ffffff
-3 -2 6 ffffff
-2 -2 6 ffffff
-1 -2 6 ffffff
-7 -1 6 ffffff
-6 -1 6 ffffff
-5 -1 6 ffffff
-4 -1 6 ffffff
-3 -1 6 ffffff
-2 -1 6 ffffff
-1 -1 6 ffffff
-4 -5 7 ffffff
-3 -5 7 ffffff
-2 -5 7 ffffff
-1 -5 7 ffffff
-5 -4 7 ffffff
-4 -4 7 ffffff
-3 -4 7 ffffff
-2 -4 7 ffffff
-1 -4 7 ffffff
-6 -3 7 ffffff
-5 -3 7 ffffff
-4 -3 7 ffffff
-3 -3 7 ffffff
-2 -3 7 ffffff
-1 -3 7 ffffff
-7 -2 7 ffffff
-6 -2 7 ffffff
-5 -2 7 ffffff
-4 -2 7 ffffff
-3 -2 7 ffffff
-2 -2 7 ffffff
-1 -2 7 ffffff
-7 -1 7 ffffff
-6 -1 7 ffffff
-5 -1 7 ffffff
-4 -1 7 ffffff
-3 -1 7 ffffff
-2 -1 7 ffffff
-1 -1 7 ffffff
-4 -5 8 ffffff
-3 -5 8 ffffff
-2 -5 8 ffffff
-1 -5 8 ffffff
-5 -4 8 ffffff
-4 -4 8 ffffff
-3 -4 8 ffffff
-2 -4 8 ffffff
-1 -4 8 ffffff
-6 -3 8 ffffff
-5 -3 8 ffffff
-4 -3 8 ffffff
-3 -3 8 ffffff
-2 -3 8 ffffff
-1 -3 8 ffffff
-7 -2 8 ffffff
-6 -2 8 ffffff
-5 -2 8 ffffff
-4 -2 8 ffffff
-3 -2 8 ffffff
-2 -2 8 ffffff
-1 -2 8 ffffff
-7 -1 8 ffffff
-6 -1 8 ffffff
-5 -1 8 ffffff
-4 -1 8 ffffff
-3 -1 8 ffffff
-2 -1 8 ffffff
-1 -1 8 ffffff
-4 -5 9 ffffff
-3 -5 9 ffffff
-2 -5 9 ffffff
-1 -5 9 ffffff
-5 -4 9 ffffff
-4 -4 9 ffffff
-3 -4 9 ffffff
-2 -4 9 ffffff
-1 -4 9 ffffff
-6 -3 9 ffffff
-5 -3 9 ffffff
-4 -3 9 ffffff
-3 -3 9 ffffff
-2 -3 9 ffffff
-1 -3 9 ffffff
-7 -2 9 ffffff
-6 -2 9 ffffff
-5 -2 9 ffffff
-4 -2 9 ffffff
-3 -2 9 ffffff
-2 -2 9 ffffff
-1 -2 9 ffffff
-7 -1 9 ffffff
-6 -1 9 ffffff
-5 -1 9 ffffff
-4 -1 9 ffffff
-3 -1 9 ffffff
-2 -1 9 ffffff
-1 -1 9 ffffff
-3 -5 10 ffffff
-2 -5 10 ffffff
-1 -5 10 ffffff
-5 -4 10 ffffff
-4 -4 10 ffffff
-3 -4 10 ffffff
-2 -4 10 ffffff
-1 -4 10 ffffff
-6 -3 10 ffffff
-5 -3 10 ffffff
-4 -3 10 ffffff
-3 -3 10 ffffff
-2 -3 10 ffffff
-1 -3 10 ffffff
-6 -2 10 ffffff
-5 -2 10 ffffff
-4 -2 10 ffffff
-3 -2 10 ffffff
-2 -2 10 ffffff
-1 -2 10 ffffff
-7 -1 10 ffffff
-6 -1 10 ffffff
-5 -1 10 ffffff
-4 -1 10 ffffff
-3 -1 10 ffffff
-2 -1 10 ffffff
-1 -1 10 ffffff
-4 -4 11 ffffff
-3 -4 11 ffffff
-2 -4 11 ffffff
-1 -4 11 ffffff
-5 -3 11 ffffff
-4 -3 11 ffffff
-3 -3 11 ffffff
-2 -3 11 ffffff
-1 -3 11 ffffff
-6 -2 11 ffffff
-5 -2 11 ffffff
-4 -2 11 ffffff
-3 -2 11 ffffff
-2 -2 11 ffffff
-1 -2 11 ffffff
-6 -1 11 ffffff
-5 -1 11 ffffff
-4 -1 11 ffffff
-3 -1 11 ffffff
-2 -1 11 ffffff
-1 -1 11 ffffff
-4 -3 12 ffffff
-3 -3 12 ffffff
-2 -3 12 ffffff
-1 -3 12 ffffff
-5 -2 12 ffffff
-4 -2 12 ffffff
-3 -2 12 ffffff
-2 -2 12 ffffff
-1 -2 12 ffffff
-5 -1 12 ffffff
-4 -1 12 ffffff
-3 -1 12 ffffff
-2 -1 12 ffffff
-1 -1 12 ffffff
-3 -2 13 ffffff
-2 -2 13 ffffff
-1 -2 13 ffffff
-4 -1 13 ffffff
-3 -1 13 ffffff
-2 -1 13 ffffff
-1 -1 13 ffffff
0 -1 3 ffffff
0 -3 4 ffffff
0 -2 4 ffffff
1 -2 4 ffffff
0 -1 4 ffffff
1 -1 4 ffffff
0 -4 5 ffffff
0 -3 5 ffffff
1 -3 5 ffffff
0 -2 5 ffffff
1 -2 5 ffffff
2 -2 5 ffffff
0 -1 5 ffffff
1 -1 5 ffffff
2 -1 5 ffffff
0 -4 6 ffffff
1 -4 6 ffffff
0 -3 6 ffffff
1 -3 6 ffffff
2 -3 6 ffffff
0 -2 6 ffffff
1 -2 6 ffffff
2 -2 6 ffffff
